id,Name,Cuisine,Rating,NumberOfReviews,Address,ZipCode,Latitude,Longitude,IsClosed,InsertTime
ehUuSk5gPTCQmwS_ubgKRA,Upstate Craft Beer & Oyster Bar,indian,4.5,1862,95 1st Ave,10003,40.726373,-73.986557,False,15/10/2020 23:37:46
8HkB3JfIj7_g-MN5ujoRig,Grand Central Terminal,indian,4.5,1400,89 E 42nd St,10017,40.752793,-73.977165,False,15/10/2020 23:37:46
WG639VkTjmK5dzydd1BBJA,Rubirosa,indian,4.5,2265,235 Mulberry St,10012,40.722766,-73.996233,False,15/10/2020 23:37:46
-OixbLnFLCzQclxCSbUQ8w,Up Thai,indian,4.5,2330,1411 2nd Ave,10021,40.7698275926665,-73.9576330868512,False,15/10/2020 23:37:46
wGFSTTB6b4MHJJUzBnVJeg,Top Thai Greenwich,indian,4.5,1498,235 Sullivan St,10012,40.729771,-73.999392,False,15/10/2020 23:37:46
HxC2ZN010NxAFwjTqUVpzw,Rice To Riches,indian,4,3027,37 Spring St,10012,40.721845,-73.995802,False,15/10/2020 23:37:46
dMhRafXdr765DHe0k-QfaQ,ABC Kitchen,indian,4,2971,35 E 18th St,10003,40.738085,-73.989472,False,15/10/2020 23:37:46
iBm8YTqNwrddsxWdqLPK-A,Caracas Arepa Bar,indian,4,2551,91 E 7th St,10009,40.7269655,-73.9854223,False,15/10/2020 23:37:46
U5hCNNyJmb7f3dmC1HTzSQ,Junior's Restaurant & Bakery - 45th St.,indian,4,4626,1515 Broadway,10036,40.7582662685627,-73.98654,False,15/10/2020 23:37:46
OUPyV2WKYETuprScXSAtuA,The Museum of Modern Art,indian,4.5,1991,11 West 53rd St,10019,40.761441,-73.977625,False,15/10/2020 23:37:46
Hs1TH_4FpyzbX6_J5r1XXg,Molly's Cupcakes,indian,4.5,1672,228 Bleecker St,10014,40.73014,-74.00248,False,15/10/2020 23:37:46
qLLxS7RwNEjP_jq_KQrPfA,Traif,indian,4.5,1871,229 S 4th St,11211,40.710658,-73.958872,False,15/10/2020 23:37:46
ZD22cMZvSmfNsXS9vKizGA,Angel's Share,indian,4.5,2113,8 Stuyvesant St,10003,40.7297097529882,-73.9891492245369,False,15/10/2020 23:37:46
rp8S7scxOkVVeG7dNneMGQ,L'Artusi,indian,4.5,1851,228 W 10th St,10014,40.73372,-74.00513,False,15/10/2020 23:37:46
6G_NSMacAfdf-WYOpcQ4uw,Eileen's Special Cheesecake,indian,4.5,1671,17 Cleveland Pl,10012,40.7215431969029,-73.9972332037048,False,15/10/2020 23:37:46
1DfbZ0VsSCg9g1KILmnvzQ,Per Se,indian,4.5,1649,10 Columbus Cir,10019,40.7681528889558,-73.9827629623657,False,15/10/2020 23:37:46
t1w4qyqyfEdTPhoy-5t3FA,Morimoto,indian,4,3057,88 10th Ave,10011,40.74332,-74.00713,False,15/10/2020 23:37:46
klAhw3xLQi9GF1tf_HnS7w,Izakaya MEW,indian,4,2313,53 W 35th St,10001,40.7501853096499,-73.9863203465939,False,15/10/2020 23:37:46
NOh24SMS6k4pzNv8Ds7KDg,Cafe Habana,indian,4,3157,17 Prince St,10012,40.722998,-73.994171,False,15/10/2020 23:37:46
pfmAcS-g6SiNG0KlLvrqnA,Beauty & Essex,indian,4,3503,146 Essex St,10002,40.72037,-73.98677,False,15/10/2020 23:37:46
L-IuiVoFMDSw2K6OAciP1g,Mamoun's Falafel,indian,4,2394,119 MacDougal St,10012,40.7302874,-74.0004383,False,15/10/2020 23:37:46
DZaN3bNWfwcm__sNw5bvDg,Daniel,indian,4.5,1602,60 E 65th St,10065,40.7667736797858,-73.967607,False,15/10/2020 23:37:46
MJJi_5tGkWYI1VReTjhCCA,Bryant Park,indian,4.5,1169,41 W 40th St,10018,40.7536079618246,-73.9832969941198,False,15/10/2020 23:37:46
X8ZS-dgiMIJvhwf9SaDnjw,Wah Fung No 1,indian,4.5,1462,79 Chrystie St,10002,40.71735,-73.99457,False,15/10/2020 23:37:46
x0k5kFArHLijdY8-NEQ7Xg,Bengal Tiger Indian Food,indian,4.5,1926,58 W 56th St,10019,40.763167,-73.977131,False,15/10/2020 23:37:46
